seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
0,100,cartoon-sketch,0.15,0.3975415756132191,0.1598734563240959,-0.23766811928912324,ABSORB,False,2,3
1,25,photo-art_painting,0.0,-0.0116986667458973,0.0125046198692082,0.0242032866151055,AMPLIFY,True,1,1
1,25,photo-art_painting,0.02,-0.0116986667458973,0.0159475287513948,0.027646195497292102,AMPLIFY,True,0,0
1,25,photo-art_painting,0.05,-0.0116986667458973,-0.0025174562877975,0.0091812104580998,ABSORB,False,2,2
1,25,photo-art_painting,0.1,-0.0116986667458973,-0.0089352345316808,0.0027634322142165,ABSORB,False,1,1
1,25,photo-art_painting,0.15,-0.0116986667458973,0.0003470293049119,0.0120456960508092,ABSORB,True,0,0
1,25,photo-cartoon,0.0,0.1616544222495773,0.0125046198692082,-0.1491498023803691,ABSORB,False,1,1
1,25,photo-cartoon,0.02,0.1616544222495773,0.0187162847290153,-0.142938137520562,ABSORB,False,1,2
1,25,photo-cartoon,0.05,0.1616544222495773,0.030024189463128,-0.1316302327864493,ABSORB,False,2,2
1,25,photo-cartoon,0.1,0.1616544222495773,0.0550408903441692,-0.1066135319054081,ABSORB,False,2,2
1,25,photo-cartoon,0.15,0.1616544222495773,0.0898130182448142,-0.07184140400476309,ABSORB,False,2,2
1,25,photo-sketch,0.0,0.0674597872475468,0.0073442800172798,-0.060115507230267,ABSORB,False,0,0
1,25,photo-sketch,0.02,0.0674597872475468,0.0090072941794585,-0.05845249306808829,ABSORB,False,1,1
1,25,photo-sketch,0.05,0.0674597872475468,0.0085179944495145,-0.0589417927980323,ABSORB,False,1,1
1,25,photo-sketch,0.1,0.0674597872475468,0.030122747034267,-0.0373370402132798,ABSORB,False,3,3
1,25,photo-sketch,0.15,0.0674597872475468,0.0562360842032853,-0.011223703044261499,ABSORB,False,2,2
1,25,art_painting-cartoon,0.0,0.144166928986688,0.0125046198692082,-0.1316623091174798,ABSORB,False,1,1
1,25,art_painting-cartoon,0.02,0.144166928986688,0.0192171892461046,-0.1249497397405834,ABSORB,False,1,1
1,25,art_painting-cartoon,0.05,0.144166928986688,0.0189434240649895,-0.1252235049216985,ABSORB,False,1,1
1,25,art_painting-cartoon,0.1,0.144166928986688,0.041681315117398,-0.10248561386929,ABSORB,False,3,3
1,25,art_painting-cartoon,0.15,0.144166928986688,0.080623570777319,-0.063543358209369,ABSORB,False,2,2
1,25,art_painting-sketch,0.0,0.0704704254791864,0.0153763757936664,-0.05509404968552,ABSORB,False,1,1
1,25,art_painting-sketch,0.02,0.0704704254791864,0.018819284675853,-0.0516511408033334,ABSORB,False,0,0
1,25,art_painting-sketch,0.05,0.0704704254791864,0.0110455194947377,-0.0594249059844487,ABSORB,False,0,0
1,25,art_painting-sketch,0.1,0.0704704254791864,0.034307120233054,-0.0361633052461324,ABSORB,False,3,4
1,25,art_painting-sketch,0.15,0.0704704254791864,0.0697027212386651,-0.0007677042405213053,ABSORB,False,2,2
1,25,cartoon-sketch,0.0,0.1796584225716831,0.0081848656681842,-0.1714735569034989,ABSORB,False,1,1
1,25,cartoon-sketch,0.02,0.1796584225716831,0.0131848656681841,-0.166473556903499,ABSORB,False,1,1
1,25,cartoon-sketch,0.05,0.1796584225716831,0.0244948764185506,-0.1551635461531325,ABSORB,False,3,3
1,25,cartoon-sketch,0.1,0.1796584225716831,0.0668995767892263,-0.1127588457824568,ABSORB,False,3,4
1,25,cartoon-sketch,0.15,0.1796584225716831,0.1153473601217929,-0.0643110624498902,ABSORB,False,3,4
1,50,photo-art_painting,0.0,0.0968050919370183,0.0125046198692082,-0.0843004720678101,ABSORB,False,1,1
1,50,photo-art_painting,0.02,0.0968050919370183,0.0175046198692081,-0.07930047206781021,ABSORB,False,1,1
1,50,photo-art_painting,0.05,0.0968050919370183,0.0288348912052832,-0.0679702007317351,ABSORB,False,3,3
1,50,photo-art_painting,0.1,0.0968050919370183,0.0522602596370203,-0.044544832299998005,ABSORB,False,2,2
1,50,photo-art_painting,0.15,0.0968050919370183,0.0667895508505079,-0.030015541086510403,ABSORB,False,1,1
1,50,photo-cartoon,0.0,0.1317042364154211,0.0101820204985183,-0.12152221591690279,ABSORB,False,0,0
1,50,photo-cartoon,0.02,0.1317042364154211,0.0101820204985183,-0.12152221591690279,ABSORB,False,0,0
