seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
1,100,art_painting,cartoon,art_painting__cartoon,0.15,0.7789813096653946,0.7208551627655551,0.7315362058320926,-0.058126146899839526,-0.04744510383330203,-0.010681043066537499,"F,F,F,D"
1,100,art_painting,sketch,art_painting__sketch,0.0,0.8188822188869986,0.8063775990177904,0.8063775990177904,-0.012504619869208256,-0.012504619869208256,0.0,"D,D,D,D"
1,100,art_painting,sketch,art_painting__sketch,0.02,0.8038822188869986,0.7863775990177905,0.788783139670927,-0.01750461986920815,-0.015099079216071676,-0.002405540653136473,"D,D,F,D"
1,100,art_painting,sketch,art_painting__sketch,0.05,0.7851922296373651,0.7632349338206872,0.7662831396709271,-0.021957295816677935,-0.01890908996643803,-0.0030482058502399045,"D,D,F,D"
1,100,art_painting,sketch,art_painting__sketch,0.1,0.7789813096653946,0.7515590241589085,0.7577705121771526,-0.027422285506486066,-0.02121079748824195,-0.006211488018244116,"F,F,F,F"
1,100,art_painting,sketch,art_painting__sketch,0.15,0.7789813096653946,0.7515590241589085,0.7577705121771526,-0.027422285506486066,-0.02121079748824195,-0.006211488018244116,"F,F,F,F"
1,100,cartoon,sketch,cartoon__sketch,0.0,0.8188822188869986,0.8063775990177904,0.8067363210599183,-0.012504619869208256,-0.01214589782708031,-0.0003587220421279458,"D,D,F,D"
1,100,cartoon,sketch,cartoon__sketch,0.02,0.8038822188869986,0.7863775990177905,0.7917363210599183,-0.01750461986920815,-0.01214589782708031,-0.005358722042127839,"D,D,F,D"
1,100,cartoon,sketch,cartoon__sketch,0.05,0.7851922296373651,0.7610810712550784,0.7692363210599183,-0.024111158382286724,-0.015955908577446776,-0.008155249804839948,"D,D,F,D"
1,100,cartoon,sketch,cartoon__sketch,0.1,0.7789813096653946,0.725184825136642,0.7317363210599184,-0.05379648452875263,-0.04724498860547621,-0.006551495923276418,"D,D,F,D"
1,100,cartoon,sketch,cartoon__sketch,0.15,0.7789813096653946,0.7001848251366418,0.6942363210599184,-0.07879648452875276,-0.08474498860547619,0.0059485040767234265,"D,D,F,D"
2,25,photo,art_painting,photo__art_painting,0.0,0.8143105174795101,0.8136349097518751,0.8136172593519416,-0.0006756077276349748,-0.0006932581275684857,1.765039993351092e-05,"D,F,F,D"
