seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
0,competence,pseudo,40,1+4,"[1,4]",76,0.9301139374668785,0.9610939510939511
0,competence,pseudo,40,2+3,"[2,3]",76,0.9497217806041336,0.9585456885456886
0,competence,pseudo,40,2+4,"[2,4]",72,0.9471074015191663,0.9585456885456886
0,competence,pseudo,40,3+4,"[3,4]",76,0.9441662250485778,0.9612483912483911
0,competence,true,5,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,true,5,1,[1],5,0.944493022434199,0.9585456885456886
0,competence,true,5,2,[2],5,0.9443296237413884,0.9585456885456886
0,competence,true,5,3,[3],5,0.9443296237413884,0.9585456885456886
0,competence,true,5,4,[4],5,0.9443296237413884,0.9585456885456886
0,competence,true,5,1+2,"[1,2]",10,0.9472708002119766,0.9585456885456886
0,competence,true,5,1+3,"[1,3]",10,0.944493022434199,0.9585456885456886
0,competence,true,5,1+4,"[1,4]",10,0.9472708002119766,0.9585456885456886
0,competence,true,5,2+3,"[2,3]",10,0.9443296237413884,0.9585456885456886
0,competence,true,5,2+4,"[2,4]",10,0.9443296237413884,0.9585456885456886
0,competence,true,5,3+4,"[3,4]",10,0.9443296237413884,0.9585456885456886
0,competence,true,10,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,true,10,1,[1],10,0.9443296237413884,0.9585456885456886
0,competence,true,10,2,[2],10,0.9443296237413884,0.9585456885456886
0,competence,true,10,3,[3],10,0.9386857445680976,0.9666537966537966
0,competence,true,10,4,[4],10,0.9443296237413884,0.9585456885456886
0,competence,true,10,1+2,"[1,2]",20,0.9443296237413884,0.9585456885456886
0,competence,true,10,1+3,"[1,3]",20,0.9386857445680976,0.9666537966537966
0,competence,true,10,1+4,"[1,4]",20,0.9415518459636107,0.9585456885456886
0,competence,true,10,2+3,"[2,3]",20,0.9386857445680976,0.9666537966537966
0,competence,true,10,2+4,"[2,4]",20,0.9443296237413884,0.9585456885456886
0,competence,true,10,3+4,"[3,4]",20,0.9386857445680976,0.9666537966537966
0,competence,true,20,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,true,20,1,[1],20,0.944493022434199,0.9585456885456886
0,competence,true,20,2,[2],20,0.9415518459636107,0.9585456885456886
0,competence,true,20,3,[3],20,0.9500485779897545,0.9612483912483911
0,competence,true,20,4,[4],20,0.9443296237413884,0.9585456885456886
0,competence,true,20,1+2,"[1,2]",40,0.9386106694930225,0.9585456885456886
0,competence,true,20,1+3,"[1,3]",40,0.9473458752870518,0.9584706134706135
0,competence,true,20,1+4,"[1,4]",40,0.9415518459636107,0.9585456885456886
0,competence,true,20,2+3,"[2,3]",40,0.9473458752870518,0.9612483912483911
0,competence,true,20,2+4,"[2,4]",40,0.9415518459636107,0.9585456885456886
0,competence,true,20,3+4,"[3,4]",40,0.9500485779897545,0.9612483912483911
0,competence,true,40,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,true,40,1,[1],40,0.9525128069245717,0.9557679107679107
0,competence,true,40,2,[2],36,0.9415518459636107,0.9585456885456886
0,competence,true,40,3,[3],40,0.9441662250485781,0.9666537966537966
0,competence,true,40,4,[4],36,0.9443296237413884,0.9585456885456886
0,competence,true,40,1+2,"[1,2]",76,0.9497350291467939,0.9585456885456886
0,competence,true,40,1+3,"[1,3]",80,0.9469572513690162,0.961098241098241
0,competence,true,40,1+4,"[1,4]",76,0.9525128069245715,0.9529901329901328
0,competence,true,40,2+3,"[2,3]",76,0.9413884472708002,0.9666537966537966
0,competence,true,40,2+4,"[2,4]",72,0.9471074015191663,0.9585456885456886
0,competence,true,40,3+4,"[3,4]",76,0.9441662250485781,0.9638760188760189
0,random,pseudo,5,0,[],0,0.9443296237413884,0.9585456885456886
0,random,pseudo,5,1,[1],5,0.9443296237413884,0.9585456885456886
0,random,pseudo,5,2,[2],5,0.9415518459636107,0.9585456885456886
0,random,pseudo,5,3,[3],5,0.9471824765942412,0.9585456885456886
0,random,pseudo,5,4,[4],5,0.9443296237413884,0.9585456885456886
0,random,pseudo,5,1+2,"[1,2]",10,0.9415518459636107,0.9585456885456886
0,random,pseudo,5,1+3,"[1,3]",10,0.9444046988164635,0.9585456885456886
0,random,pseudo,5,1+4,"[1,4]",10,0.9443296237413884,0.9585456885456886
0,random,pseudo,5,2+3,"[2,3]",10,0.9444046988164635,0.9585456885456886
0,random,pseudo,5,2+4,"[2,4]",10,0.9415518459636107,0.9585456885456886
0,random,pseudo,5,3+4,"[3,4]",10,0.9471824765942412,0.9585456885456886
0,random,pseudo,10,0,[],0,0.9443296237413884,0.9585456885456886
0,random,pseudo,10,1,[1],10,0.9443296237413884,0.9585456885456886
0,random,pseudo,10,2,[2],10,0.9415518459636107,0.9585456885456886
0,random,pseudo,10,3,[3],10,0.9443296237413884,0.9584706134706135
